店名,評価,レビュー件数,口コミ件数,口コミテキスト,ジャンル
○新 ネギラーメン 新橋店,3.50,6992,470,"○新 ネギラーメン 新橋店@内幸町

訪問日時 2024-02 日曜 11:00

オーダー： チャ飯ネギラーメンセット
[￥950]

麺：★★★★★
中細麺ストレート
前回評価と同じ

汁：★★★★★
豚骨鶏ガラ醤油スープ
醤油の主張はマイルド
前回評価同様

具...詳細を見る | 串焼食って、鮨食って、それでもツレがラーショ系ラーメン食った事ないから行きたいと駄々をこねる。ので、コチラへ。

23:00過ぎですが、酔客で一杯。5分ほど待ってから店内へ。ネ...詳細を見る | 新橋駅から徒歩3分くらいのところにある「〇新ネギラーメン新橋店」にお邪魔してランチをいただきます。ここ数年前から久しぶりにラーメンショップに行きたいという願望があり、ふと食べログで...詳細を見る",ラーメン、つけ麺
東京スタイルみそらーめん ど・みそ  京橋本店,3.55,52793,1736,"土曜日午後、代々木上原と霞ヶ関で面倒な用事を済ませ、気分転換に日比谷、有楽町を経て京橋まで歩く。職場が丸の内にあった頃には国鉄の高架下と鍛冶橋交差点を通り、ちょくちょく此方に遅めのランチに訪ねたものである。

15時。綺麗なカウンターに僅かな残席を認め入店。特みそラーメン（背脂なし）とウォーキン...詳細を見る | 暑い最中、東京駅付近はインバウンドと帰省客がごった返していて落ち着いて食べるところがなかなかありません。八重洲口改札から正味10分歩くけど京橋まで来ればさすがに居るのはサラリーマン...詳細を見る | 辛いラーメンを食べたくなり、少し調べたら、「ど・みそ」に「特製みそオロチョンらーめん」というメニューがあることを知り、久々に「ど・みそ」を訪問してきました。

以前私は西新井に...詳細を見る",ラーメン
四川料理　天禄園 沼部駅前店,3.09,252,26,"久々のディナータイムのお伺い。

我が家定番の海鮮炒め、黒酢豚、初挑戦の梅しそチャーバン。

海鮮炒めと黒酢豚は安定の旨さ。
酢豚は肉も多く、黒酢が食欲をそそります。
...詳細を見る | 牛肉炒飯、エビの塩味炒め、ニラレバ
2人でこれで十分笑
極度なパラパラではないチャーハンはしっとりなところが逆に良い。
えびはたっぷりと。野菜も食べられ、塩味さっぱりな部分が...詳細を見る | 大田区沼部

大田区の中でもほとんど土地勘のない
このあたり。
沼部駅前に行き
街中華　四川料理天禄園さんで
ランチしました。
4人でテーブル席についたんだけどきっつ...詳細を見る",四川料理、担々麺
中華そば 和渦 TOKYO,3.79,50086,1622,"年初めのラーメンとして、以前から気になっていたこのお店に訪問。
百名店に連続して選ばれているお店です。

口コミの通り、ガソリンスタンド裏のビルの２階にあるお店です。

土曜日の11:30頃の訪問でしたが、階段に並んで、間もなく店内へ。お店の入口には、今日の三位一体のスープの告知の紙があり...詳細を見る | 平日の13:45に訪問いたしました。品川駅からも徒歩10分ほどですが、とても暑い夏の日だったので、京急線で北品川駅まで行き、歩道橋を渡ったりして徒歩2分でした。国道15号のガソリン...詳細を見る | 仕事帰りラー活
この日はヘトヘトに疲れて、でも美味いもの食べたい欲はあり、百名店2週目ということで北品川の此方へ
ガソリンスタンドの横を通り抜けた先に店があるのだが、その手前に...詳細を見る",ラーメン、つけ麺
らあめん 元,3.73,17122,634,"東京メトロ三田線蓮根駅から徒歩1分

【営業時間】
11:30-14:00/18:00-21:30
※土日祝はディナー18:00-20:30
【定休日】
月曜日

【並び】
11:30着
先客4名
後客5名

【店内】
調理補助1名
接客1名
カウンター7席
水セル...詳細を見る | 暑い暑い立秋すぎての都内。
お腹空いたな，でラーメン屋さんを検索。
京都ラーメン的な醤油と脂が好きなわたしですが、今日はなんだか塩気分。
そうそう、とブックマークしていたこち...詳細を見る | 新宿地下ラーメンにて

今回は、板橋区蓮根にある「らあめん元」さんの出店

こちらのお店、初入店❗️

一番安価なノーマルラーメンをポチる

ほどなくして着丼

...詳細を見る",ラーメン、つけ麺
口福,3.22,591,24,"この日は保谷に用事があり、『口福』さんでお昼をいただくことに。
地元の人以外は通ることがなさそうな路地に入ったところにあるお店で、外観も中華料理屋さんっぽくないので、素通りしてし...詳細を見る | 西武池袋線保谷駅南口から少し歩いた
路地裏になぜか飲食店が複数建ち並ぶ
エリアがあり、その中の口福さんで
ランチを食べることにしました。
軒先の独特な感じは地元民じゃないと...詳細を見る | 美味しい町中華の美味しいレバニラ炒めで暑さ対策を図るも猛暑には勝てず………。

レバニラ炒めは、レバーに含まれるビタミンB1とニラに含まれるアリシンを一緒に摂取することで、ビタ...詳細を見る",中華料理、担々麺
中華 揚揚,3.23,237,15,"神田富山町の裏通り、餃子市場のお隣に、
2022年5月、赤い看板の中華楊楊がオープンしました。

以前は、築地市場 石橋水産プレゼンツ 魚援団があった場所です。
魚援団の大...詳細を見る | ランチのピーク時間帯でしたが、ちょうど空席があって待たずに案内されました。

注文は 土鍋炒飯 の大盛。ランチの白飯はお替わり無料とのことで、大盛も無料のようですが、麺と炒飯の...詳細を見る | 中華　楊楊＠高格跡地（神田富山町28）　5月開店の新店

ある日忽然と姿を消し
滬菜ファンを嘆かせた
寧波菜の銘店「高格」

その跡地で今年五月末に
営業開始した大陸...詳細を見る",中華料理、居酒屋、ラーメン
北海道らーめん みそ熊 東陽町店,3.17,238,32,"注文：北海道みそらーめん（麺大盛）
支払い方法：券売機（現金のみ）
※券売機、高額紙幣はあります
※麺大盛は無料サービス（食券お渡し時にお伺い有）

お昼のピークタイム過...詳細を見る | ラーメン屋激戦区にまた新店が参戦。元は免許用の写真を撮りつつタバコを売っている角地の小さなお店だったのですが、まさかのイメチェンでした。
11時開店の店が多い中、当店は10:30...詳細を見る | 東陽町にオープンして数日、昼も夜も並んでいます。会社の人に聞いたらチェーン店だから他のところにもあるとの事でした。
平日14時頃に通ったら誰も並んでいなかったので、入店してみまし...詳細を見る",ラーメン
楽観 立川店,3.61,30172,1189,"投稿ナビゲーション&larr;前へ久しぶりに度肝を抜かれた、他では食べられない絶品醤油ラーメン。立川「楽観」投稿日:2013年8月17日投稿者:Guro立川の楽観に行きました。

元々は西麻布の住宅街にあったようです。

醤油味の琥珀を注文。700円。
大盛は100円増し。
この日は特別にチャーシュートッピングサービスでした。
醤油は出汁がしっかり感じられ、見た目より濃くはありません...詳細を見る | 立川駅北口より徒歩5分ほど
立川の老舗の部類に入る
楽観さんへ
実に7年ぶり位かな
ちょうど外工事しており
行きすぎてしまった。

平日13時40分で店内６割位
すぐに入店です。

■真珠(大盛サービス)■950円
このメニューってパールじゃなかったかな
店員さん真珠ってその...詳細を見る | 楽観立川店は駅の線路沿いながら意外と歩きましてかなり端っぺにあるフタバソシアルビルのテナントになります

そんな外れにあるからかノーゲスで、ワンオペのお姉さんも暇を持て余してお...詳細を見る",ラーメン
らーめん 七彩飯店,3.68,14398,681,"本日、ご紹介するのは東京駅・八重洲地下街にある「らーめん七彩飯店」さん♪

名前を聞いただけでラーメンインフルエンサーの方はすぐにピン！と来るでしょう

そうです！開店前から行列必須のあの2018年から6年連続で百名店に選ばれている麺や七彩の姉妹店なのです^^

2021年にこちら東京駅...詳細を見る | ここ数日は連日35度超えの猛暑日が続いていて夜になっても暑さが残っている。
こういう真夏の日が続くと冷やし中華なんかが食べたくなるもの。
一年振り位に八重洲にある『七彩飯店』さ...詳細を見る | .
七彩飯店で話題の喜多方ラーメン✨ 店内はアットホームな雰囲気で、スタッフも親切でリラックスできる空間でした。

ラーメンが運ばれてきた瞬間、黄金色の澄んだスープに目を引か...詳細を見る",ラーメン
昌平ラーメン 新宿西口店,3.52,13038,395,"■店名
昌平ラーメン 新宿西口店

■場所
新宿駅、西武新宿駅、西新宿駅

■予算
1000〜1999円

■頼んだメニュー
・つけ麺
・半チャー餃子セット
...詳細を見る | ボリューム満点と噂のチャーハンを食べに行きました(ง ˙ω˙)ว

でもいざ食券機を見ると色々目移りしてしまう( ꒪﹃ ꒪)
ラーメン＋半チャーハンにするかすごい悩んだ結果、...詳細を見る | 新宿西口、河合塾から西新宿方面に歩いて
すぐのラーメン＆中華のお店
1階がカウンター席、2階にはテーブル席があり
昼はラーメン系、夜は中華コースがあります。

このお店、...詳細を見る",つけ麺、ラーメン、中華料理
豚ギャング 八王子店,3.08,326,18,"二郎系が食べたくて八王子へやって来ました。

大雪警報の際、まっ先に駅前で生中継するここ東京都の南西部
１つオープンしたらなんとやら 最近ソレの店 多いです。

今年やっ...詳細を見る | JR八王子駅北口から高尾方面に徒歩10分ほどのところにある、ホルモンの名店 天竜の向かいにできた新店舗の豚ギャングで11時半頃にランチを食べてきました。

到着して券売機でラー...詳細を見る | 土曜日
今日のお昼は、先月末にオープンしたばかりの
『豚ギャング(ぶたぎゃんぐ) 八王子店』へ

同じような綴りの
『豚キング(とんきんぐ)』を知ってるだけに
なんだか...詳細を見る",ラーメン
ラーメン二郎 新宿小滝橋通り店,3.52,9196,970,"糖質が気になる今日この頃は、塩分が気になる今日この頃でもありまして、やはり麺自体にもスープがしっかり染み染みなラーメンではなく、つけ麺をいただくのが小滝橋通り店の正義でありましょう。柔らかで食べやすいラーメンの麺とは違ってワシワシ感がものすごいつけ麺の麺ですが、とにかく甘みが心地よく、豚肉スープをお...詳細を見る | やってきたぜ。
数あるラーメン屋の中でも抜群の知名度を誇る「ラーメン二郎」。その直系店の一つ、「新宿小滝橋通り店」に行ってまいりました。

土日のランチタイムの利用。
人気...詳細を見る | 麺量=ラーメン250g
マシ(ここは、多めと言うらしい)までオッケー。
アブラは、『塊』『液体』でコールできるらしい。。
オープン後は先に食券を買って並ぶスタイル。トッピング...詳細を見る",ラーメン、つけ麺
虹屋,3.44,3945,80,"足立区。
国道4号線から少し入ります。
区役所から圏内。
マイナカードを区役所に受け取りに来た流れで訪問♪

本日の注文
・冷やし担々麺　900円
　中華粥付
・水餃子　550円
　おろしポン酢

ランチタイムは焼餃子は出してないそうで残念。
冷やし担々麺は辛さが選べます。
...詳細を見る | 他の方々が冷やし担々麺を絶賛してるので、暖かな5月の連休に行って、味わってみた。12時少し前で既に満席。私が入った後、僅かながら外に行列ができた。もう押しも押されぬ人気店だ。

...詳細を見る | ✅ゴマの風味がたまらない
✅もやしシャキシャキ！！
✅辛さよりもゴマが勝つタマラン

こんにちは！ボッチグルメのともちん旅です！

ショート動画でも楽しめます
htt...詳細を見る",中華料理、担々麺
俺流塩らーめん 渋谷総本店,3.24,10410,494,"＊俺流塩780円+トッピング（味玉選択）150円、ごちそうさまでした。
最新のメニューはこちら
https://oreryushio.co.jp/?page_id=64

...詳細を見る | 以前に行ったことがあったのだが2回目の利用だ。

にんにくチャーハンとラーメンのセットで、確か1030円。「悪魔的旨さ」とか、そんなことが書かれていて惹かれてしまった。

...詳細を見る | こちらは渋谷の道玄坂の上にある、
オレンジ色の看板とともに増え続けるお店の総本店です。

どうも基本の塩らーめんよりも、
限定メニューに手を出しがちなんですよね。
 
...詳細を見る",ラーメン、つけ麺
双麺 浅草橋店,3.45,2148,146,"浅草橋駅の高架下で、1階カウンターdeラーメン
&2階は居酒屋さんで限定メニューありの
ラーメンも食べられる！

◎ おすすめ◡̈⃝! ポイント☝︎*˖ 

◉ ネット...詳細を見る | JR浅草橋駅の高架下(北側)、に
2020年1月にオープンした煮干しラーメンの双麺です。
錦糸町本店、門前仲町店に次ぐ３店舗目です。

店内、１階はＬ字カウンター９席のみ、...詳細を見る | 2023年10月のとある平日13時過ぎに訪ねた。

浅草橋駅から徒歩1分の場所にあるラーメン店「双麺 浅草橋店」。

2階建ての店舗の1階部分には先客なし。

カウンタ...詳細を見る",ラーメン、つけ麺、居酒屋
威風 五反田店,3.08,732,77,"【威風 五反田店】さんでランチ。

寒かったので、店頭の濃厚味噌の看板にひかれて来店。
濃厚味噌の他に白味噌、赤味噌、辛味噌とジャンルがありましたが、初めてだったので濃厚味噌...詳細を見る | ［最寄駅］
五反田駅→徒歩2分程度

たまたま、いつもの御用達のラーメン屋が定休日だった為、入ってみた。
食券を入り口で購入し、好きな席に座る。

［本日のオーダー］
...詳細を見る | 以前あったラーメン屋が看板掛け替え、味噌を主力に打ち出して改装かけたゼンショーの店。
この辺りはそれと分かりにくいチェーン店が割と多い。

味噌味のラーメンはチェーン店といえ...詳細を見る",ラーメン、つけ麺
函館らーめん 汐のや,3.30,942,52,"土曜日の昼過ぎに訪問。
店に入ると人当たりの良さそうな男性店員が案内してくださいました。

あさり塩ラーメン　850
半ライス　100

オーダーの際メニューを見ている...詳細を見る | 今日は雨が降り出しそうなので、近場でサクッとランチ。西小山駅前のアーケードにある「函館らーめん 汐のや」へ。2016年11月オープンと、割と新しいお店なんですね。
お店の前には植...詳細を見る | 西小山の新たなお気に入り探し1軒目。西小山駅前の短いアーケードを抜けるところにある函館ラーメンのお店。塩ラーメンを中心に味噌、醤油、魚介豚骨、さらにタンメンまで出していてバリエーシ...詳細を見る",ラーメン
らーめん蓮 蒲田本店,3.64,12710,401,"らーめん蓮 蒲田本店
味玉味噌らーめん(並) 1200円

1/27 13:30過ぎに訪問しました。味噌らーめんのお店になります。
店内は、カウンターとテーブル席があり、カウンターは満席、テーブル席での相席となりました。
調理の都合上、提供までに時間がややかかるとの説明が書いてあります。ま...詳細を見る | 2024年6月下旬休日 【6月限定】冷やし担々つけ麺1250円+生ビール600円
SNSで見かけ気になっていた冷やし担々つけ麺を食べに此方を訪問。
NIBOSHIMANIAの2...詳細を見る | らーめん蓮 蒲田本店@蒲田

【限定】冷やし坦々つけ麺¥1250、生ビール¥600

川崎で軽く飲んでからの〆に。
全粒粉入りの太麺はキリッと〆られてしっかりしたコシ。コ...詳細を見る",ラーメン、居酒屋、つけ麺
麺酒場 なすび,3.08,258,23,"この日訪問した先は、花小金井の「麺酒場なすび」。

創業は2003年12月。新青梅街道より500mほど北上した
小金井街道沿いの路面店。地元でよく通るエリアので
以前から気...詳細を見る | 少し遅いランチで訪問。

少し入るのに心構えがいる外観ですが、外メニューの情報量からすると中の人はそんなに人見知りではなさそう。
引き戸を開けると少し年配の女性と奥にご主人と...詳細を見る | 小金井街道を走ると目につくこちらのお店
ラーメン屋？
居酒屋？
外から見て、ずっと不思議でした

昨夜遅く道すがらのラーメン屋がどこも閉まっていたので　足を伸ばしてこちら...詳細を見る",ラーメン、つけ麺、餃子
萬来仙閣,3.24,1723,44,"会社の新年会で再来店
１０人で予約して伺いました
お店が9周年との事でハイボールが安くなってました。
お酒は持ち込み料を払えば持ち込みOKみたいです。青島ビールも飲みやすかったです
メガがたくさんあるので、メガウーロンハイやメガ巨峰ハイなどメガをたくさん頼みました
刀削麺をオーダーしたのですが麺もスープも美味しかったです。餃子は棒餃子もあり、ピータンもクセがなく美味しかったです。
エビ...詳細を見る | 小伝馬町駅3番出口から徒歩1分程度の場所にある食べ飲み放題が人気の中華居酒屋。本日は、新年最初の金曜日ということで、いつもの大酒飲みの同僚に隣の部署の後輩を加えてプチ新年会を開催...詳細を見る | 週に一度は中華かなという気分で迎えたお昼時
小伝馬町方面に向かい、そういえばこちら方面にもネイティブ系当選確実な外観と雰囲気ながら、行先リストに入れっぱなしになっている中華ジャン...詳細を見る",中華料理、居酒屋、ラーメン
そらまめらぁめん本舗,3.42,3820,200,"調布で買い物をしたあと、こちらに！
今回は、私、妻、娘の3人で、味噌ラーメン（私）、味噌ねぎラーメン（妻）、炒飯（私と娘でシェア）、坦々餃子（私と妻でシェア）、お子様ラーメン（娘）をオーダーしました。
どれも安定した美味しさで、3人とも笑顔で完食しました。
幸せなお店ですね～
 
大変美味しかったです、ご馳走さまでした。
また伺います！
新型コロナ感染防止のため家に閉じこもっていたの...詳細を見る | 映画の合間に（この日は11:40～13:30の時間があったので）、本屋さんでガリレオシリーズの続きを購入しに行ったり、銀行に行ったりして・・・。

お誕生日に行った中華料理のお...詳細を見る | 担々麺950円をいただきます。平日21時頃。そこそこのお客さん。
看板の「太肉」や「酸辣」が厳しくなってきたお年頃、やさしい担々麺を。一年前もそんなこと言って担々麺食べてたw
...詳細を見る",ラーメン、丼、担々麺
永楽,3.71,49020,1851,"日曜日の15:20頃訪問いたしました。待ちのお客様はこの時間でも10名ほどいらして、10分ほど待って入店しました。ちょうど入れ替えのタイミングで良かったです。
過去に何度も訪問したことがあり、とても美味しかったので、久々の訪問です。

【オーダー】
チャーシューワンタン　1,350円
餃子...詳細を見る | 大井町の飲み屋街にある町中華「永楽」さん。
今では数少ない焦がしネギラーメンの名店です。

友人3人で今日は大井町を散策。
散々ハシゴ酒して食べて飲んできたのに
ここでも...詳細を見る | 初めて入りました。
横丁のような狭い路地にあります。
私よりも年季の入った歴史あるお店だそうです。

最初に中瓶ビール650と餃子500円を注文。
ビールは普通の冷え方。...詳細を見る",ラーメン、餃子、中華料理
陳麻家 日本橋三越前店,3.02,1057,95,"以前は陳麻家が家の近所にあったり、会社の近くにあったりで良く利用させていただいていましたが、近頃は店舗数も減ってしまい、ここ数年は訪れたことがありませんでした。（もう無くなってしま...詳細を見る | 日本橋で映画観た後の食事を探していましたが、コレドはどこも並んでいたり予約優先だったり特別クリスマスディナーだったりで日本橋の夜で空いているところってあんまりなかったです。陳麻家日...詳細を見る | 仕事の空き時間にランチに訪問

実は前日夜もこのあたりで仕事が20時前に終わり軽く呑んで帰ろうと思い来店したら閉店してて真っ暗でした。
ちょっと営業時間守ってよw

で、...詳細を見る",四川料理、担々麺
麺屋はるか,3.46,4368,158,"■ 事前情報
来店時の評価 ★3.47
お盆期間中の16時過ぎに訪問。お盆期間で休みの人も多いようで、秋葉原周辺は土日祝並に人が多い。

■ 雰囲気・サービス
店内は奥に...詳細を見る | 仕事帰り・・・新店舗狙いで向かうも臨休で断念
当ても無く・・・秋葉原方向へ歩いて行くと
お店の存在は知ってましたが・・・移転前のお店には行った事が有り
特に食べたい！？って事...詳細を見る | 名古屋の元祖台湾まぜそば｢麺屋はなび｣
の姉妹店です。
以前はアキバでもメインストリートの
地下にありましたが、移転してからは、
初めての訪問になります。

注文したの...詳細を見る",台湾まぜそば、つけ麺、汁なし担々麺
チャイニーズ ダイニング イケガメ,3.43,5869,108,"一言、大好きです。

『料理の味』
山椒や香草系の、独特の香りがあるので、苦手な人は苦手かも。
個人的には、ビンゴ！って感じ。
会社が近いので、ランチもディナーも何度か利用しておりますが、
老若男女問わず、連れて行くと100%おいしいと言ってもらえてます。

『店の雰囲気』
やや暗めの店内で、とてもまったり出来ます。
テーブルも大きめのつくりなので、2名席に2名で座っても窮屈で...詳細を見る | 職安通りと小滝橋通りが交差する北新宿百人町の交差点近くにある「チャイニーズ ダイニング イケガメ」。駅ていうと大久保駅からが近く5分ほど。平日の12時ごろに初訪問。

外観内観...詳細を見る | 仕事の休憩で、腹減った〜と言うと社長がおすすめの中華あるから

行こうよって言ってくれたので、ついていくことに。

うちの社長は、結構部下に近い立ち回りをしてくださる人で
...詳細を見る",中華料理、担々麺
中華そば いづる,3.73,30330,1130,"中華そばいづるさんへ訪問です。
オープン１０分前に到着。
まだどなたも並んでおらずＰＰゲット。
オープンしてから食券を購入。
味玉濃厚そば（１１００円）
和え玉（３００円）
を購入し店内へ！

暫くしてから着丼。
濃厚そばウマイ！
麺は細めながらも硬めに茹でられていてこの濃厚スー...詳細を見る | ふらっと港区。
仕事で客先訪問した帰りにランチ。
駅近くで美味しそうなラーメン屋に訪問しました。
お店の名前は中華そばいづる

がっつり煮干しのラーメンを提供されてるみた...詳細を見る | スーパー暑いけど、せっかくここまで来たならときました！大門No.2のラーメン。
6時過ぎの来店で待ちなし。暑さのせいもあるかもですが夜開店の後は狙い目かも。
食券買ってからでし...詳細を見る",ラーメン
俺流塩らーめん  渋谷三丁目店,3.07,971,98,"2回目の訪問。
前回は期間限定、とんこつ男盛りをいただきましたが、今回は本流の塩ラーメン男盛りをいただきました。
いろんなラーメンを作ってきて、塩ラーメンにいきついた、という当店。
そうはいっても僕は大のとんこつ好き。前回はとんこつの誘惑に勝てずにとんこつを食べてしまいましたが、今回は塩ラーメ...詳細を見る | 冷やしそば×ゆず×ゆとりの店内＝清々しいランチ
-------------------------------------------------------------

...詳細を見る | 本日もかっとばしてまいりましょう。
コメントじゃんじゃんどうぞ。励みになります。

渋谷駅からアップダウンを超えて歩いて数分のところにある、
俺流塩ラーメン渋谷三丁目店さん...詳細を見る",ラーメン、つけ麺
